Altitutude (meters),Denstiy (kg/m3)
1335,1.07552
1336,1.07542
1337,1.07531
1338,1.0752
1339,1.0751
1340,1.07499
1341,1.07489
1342,1.07478
1343,1.07467
1344,1.07457
1345,1.07446
1346,1.07435
1347,1.07425
1348,1.07414
1349,1.07403
1350,1.07393
1351,1.07382
1352,1.07372
1353,1.07361
1354,1.0735
1355,1.0734
1356,1.07329
1357,1.07318
1358,1.07308
1359,1.07297
1360,1.07286
1361,1.07276
1362,1.07265
1363,1.07255
1364,1.07244
1365,1.07233
1366,1.07223
1367,1.07212
1368,1.07201
1369,1.07191
1370,1.0718
1371,1.0717
1372,1.07159
1373,1.07148
1374,1.07138
1375,1.07127
1376,1.07117
1377,1.07106
1378,1.07095
1379,1.07085
1380,1.07074
1381,1.07064
1382,1.07053
1383,1.07042
1384,1.07032
1385,1.07021
1386,1.0701
1387,1.07
1388,1.06989
1389,1.06979
1390,1.06968
1391,1.06957
1392,1.06947
1393,1.06936
1394,1.06926
1395,1.06915
1396,1.06904
1397,1.06894
1398,1.06883
1399,1.06873
1400,1.06862
1401,1.06851
1402,1.06841
1403,1.0683
1404,1.0682
1405,1.06809
1406,1.06799
1407,1.06788
1408,1.06777
1409,1.06767
1410,1.06756
1411,1.06746
1412,1.06735
1413,1.06724
1414,1.06714
1415,1.06703
1416,1.06693
1417,1.06682
1418,1.06672
1419,1.06661
1420,1.0665
1421,1.0664
1422,1.06629
1423,1.06619
1424,1.06608
1425,1.06597
1426,1.06587
1427,1.06576
1428,1.06566
1429,1.06555
1430,1.06545
1431,1.06534
1432,1.06524
1433,1.06513
1434,1.06502
1435,1.06492
1436,1.06481
1437,1.06471
1438,1.0646
1439,1.0645
1440,1.06439
1441,1.06428
1442,1.06418
1443,1.06407
1444,1.06397
1445,1.06386
1446,1.06376
1447,1.06365
1448,1.06355
1449,1.06344
1450,1.06333
1451,1.06323
1452,1.06312
1453,1.06302
1454,1.06291
1455,1.06281
1456,1.0627
1457,1.0626
1458,1.06249
1459,1.06238
1460,1.06228
1461,1.06217
1462,1.06207
1463,1.06196
1464,1.06186
1465,1.06175
1466,1.06165
1467,1.06154
1468,1.06144
1469,1.06133
1470,1.06123
1471,1.06112
1472,1.06101
1473,1.06091
1474,1.0608
1475,1.0607
1476,1.06059
1477,1.06049
1478,1.06038
1479,1.06028
1480,1.06017
1481,1.06007
1482,1.05996
1483,1.05986
1484,1.05975
1485,1.05965
1486,1.05954
1487,1.05943
1488,1.05933
1489,1.05922
1490,1.05912
1491,1.05901
1492,1.05891
1493,1.0588
1494,1.0587
1495,1.05859
1496,1.05849
1497,1.05838
1498,1.05828
1499,1.05817
1500,1.05807
1501,1.05796
1502,1.05786
1503,1.05775
1504,1.05765
1505,1.05754
1506,1.05744
1507,1.05733
1508,1.05723
1509,1.05712
1510,1.05702
1511,1.05691
1512,1.05681
1513,1.0567
1514,1.0566
1515,1.05649
1516,1.05639
1517,1.05628
1518,1.05618
1519,1.05607
1520,1.05597
1521,1.05586
1522,1.05576
1523,1.05565
1524,1.05555
1525,1.05544
1526,1.05534
1527,1.05523
1528,1.05513
1529,1.05502
1530,1.05492
1531,1.05481
1532,1.05471
1533,1.0546
1534,1.0545
1535,1.05439
1536,1.05429
1537,1.05418
1538,1.05408
1539,1.05397
1540,1.05387
1541,1.05376
1542,1.05366
1543,1.05355
1544,1.05345
1545,1.05334
1546,1.05324
1547,1.05313
1548,1.05303
1549,1.05293
1550,1.05282
1551,1.05272
1552,1.05261
1553,1.05251
1554,1.0524
1555,1.0523
1556,1.05219
1557,1.05209
1558,1.05198
1559,1.05188
1560,1.05177
1561,1.05167
1562,1.05156
1563,1.05146
1564,1.05136
1565,1.05125
1566,1.05115
1567,1.05104
1568,1.05094
1569,1.05083
1570,1.05073
1571,1.05062
1572,1.05052
1573,1.05041
1574,1.05031
1575,1.0502
1576,1.0501
1577,1.05
1578,1.04989
1579,1.04979
1580,1.04968
1581,1.04958
1582,1.04947
1583,1.04937
1584,1.04926
1585,1.04916
1586,1.04906
1587,1.04895
1588,1.04885
1589,1.04874
1590,1.04864
1591,1.04853
1592,1.04843
1593,1.04832
1594,1.04822
1595,1.04812
1596,1.04801
1597,1.04791
1598,1.0478
1599,1.0477
1600,1.04759
1601,1.04749
1602,1.04739
1603,1.04728
1604,1.04718
1605,1.04707
1606,1.04697
1607,1.04686
1608,1.04676
1609,1.04666
1610,1.04655
1611,1.04645
1612,1.04634
1613,1.04624
1614,1.04613
1615,1.04603
1616,1.04593
1617,1.04582
1618,1.04572
1619,1.04561
1620,1.04551
1621,1.0454
1622,1.0453
1623,1.0452
1624,1.04509
1625,1.04499
1626,1.04488
1627,1.04478
1628,1.04468
1629,1.04457
1630,1.04447
1631,1.04436
1632,1.04426
1633,1.04415
1634,1.04405
1635,1.04395
1636,1.04384
1637,1.04374
1638,1.04363
1639,1.04353
1640,1.04343
1641,1.04332
1642,1.04322
1643,1.04311
1644,1.04301
1645,1.04291
1646,1.0428
1647,1.0427
1648,1.04259
1649,1.04249
1650,1.04239
1651,1.04228
1652,1.04218
1653,1.04208
1654,1.04197
1655,1.04187
1656,1.04176
1657,1.04166
1658,1.04156
1659,1.04145
1660,1.04135
1661,1.04124
1662,1.04114
1663,1.04104
1664,1.04093
1665,1.04083
1666,1.04072
1667,1.04062
1668,1.04052
1669,1.04041
1670,1.04031
1671,1.04021
1672,1.0401
1673,1.04
1674,1.03989
1675,1.03979
1676,1.03969
1677,1.03958
1678,1.03948
1679,1.03938
1680,1.03927
1681,1.03917
1682,1.03906
1683,1.03896
1684,1.03886
1685,1.03875
1686,1.03865
1687,1.03855
1688,1.03844
1689,1.03834
1690,1.03824
1691,1.03813
1692,1.03803
1693,1.03792
1694,1.03782
1695,1.03772
1696,1.03761
1697,1.03751
1698,1.03741
1699,1.0373
1700,1.0372
1701,1.0371
1702,1.03699
1703,1.03689
1704,1.03679
1705,1.03668
1706,1.03658
1707,1.03648
1708,1.03637
1709,1.03627
1710,1.03616
1711,1.03606
1712,1.03596
1713,1.03585
1714,1.03575
1715,1.03565
1716,1.03554
1717,1.03544
1718,1.03534
1719,1.03523
1720,1.03513
1721,1.03503
1722,1.03492
1723,1.03482
1724,1.03472
1725,1.03461
1726,1.03451
1727,1.03441
1728,1.0343
1729,1.0342
1730,1.0341
1731,1.03399
1732,1.03389
1733,1.03379
1734,1.03368
1735,1.03358
1736,1.03348
1737,1.03337
1738,1.03327
1739,1.03317
1740,1.03306
1741,1.03296
1742,1.03286
1743,1.03275
1744,1.03265
1745,1.03255
1746,1.03245
1747,1.03234
1748,1.03224
1749,1.03214
1750,1.03203
1751,1.03193
1752,1.03183
1753,1.03172
1754,1.03162
1755,1.03152
1756,1.03141
1757,1.03131
1758,1.03121
1759,1.0311
1760,1.031
1761,1.0309
1762,1.0308
1763,1.03069
1764,1.03059
1765,1.03049
1766,1.03038
1767,1.03028
1768,1.03018
1769,1.03007
1770,1.02997
1771,1.02987
1772,1.02976
1773,1.02966
1774,1.02956
1775,1.02946
1776,1.02935
1777,1.02925
1778,1.02915
1779,1.02904
1780,1.02894
1781,1.02884
1782,1.02874
1783,1.02863
1784,1.02853
1785,1.02843
1786,1.02832
1787,1.02822
1788,1.02812
1789,1.02802
1790,1.02791
1791,1.02781
1792,1.02771
1793,1.0276
1794,1.0275
1795,1.0274
1796,1.0273
1797,1.02719
1798,1.02709
1799,1.02699
1800,1.02688
1801,1.02678
1802,1.02668
1803,1.02658
1804,1.02647
1805,1.02637
1806,1.02627
1807,1.02617
1808,1.02606
1809,1.02596
1810,1.02586
1811,1.02575
1812,1.02565
1813,1.02555
1814,1.02545
1815,1.02534
1816,1.02524
1817,1.02514
1818,1.02504
1819,1.02493
1820,1.02483
1821,1.02473
1822,1.02463
1823,1.02452
1824,1.02442
1825,1.02432
1826,1.02422
1827,1.02411
1828,1.02401
1829,1.02391
1830,1.02381
1831,1.0237
1832,1.0236
1833,1.0235
1834,1.0234
1835,1.02329
1836,1.02319
1837,1.02309
1838,1.02299
1839,1.02288
1840,1.02278
1841,1.02268
1842,1.02258
1843,1.02247
1844,1.02237
1845,1.02227
1846,1.02217
1847,1.02206
1848,1.02196
1849,1.02186
1850,1.02176
1851,1.02165
1852,1.02155
1853,1.02145
1854,1.02135
1855,1.02124
1856,1.02114
1857,1.02104
1858,1.02094
1859,1.02084
1860,1.02073
1861,1.02063
1862,1.02053
1863,1.02043
1864,1.02032
1865,1.02022
